"loantype","Metro","Rural Adjacent","Rural Non-Adjacent"
"NONE","54.2 %","26.1 %","19.7 %"
"PILOT","35.4 %","26.8 %","37.8 %"
"FARM BILL","48.5 %","37.1 %","14.4 %"
