year,STATE,ZIP,Prov
12-31-2005,AK,99501,7
12-31-2005,AK,99502,7
12-31-2005,AK,99503,7
12-31-2005,AK,99504,7
12-31-2005,AK,99505,*
12-31-2005,AK,99506,4
12-31-2005,AK,99507,7
12-31-2005,AK,99508,7
12-31-2005,AK,99515,6
12-31-2005,AK,99516,6
12-31-2005,AK,99517,6
12-31-2005,AK,99518,7
12-31-2005,AK,99540,*
12-31-2005,AK,99546,*
12-31-2005,AK,99547,*
12-31-2005,AK,99549,*
12-31-2005,AK,99551,*
12-31-2005,AK,99552,*
12-31-2005,AK,99553,*
12-31-2005,AK,99554,*
12-31-2005,AK,99555,*
12-31-2005,AK,99556,*
12-31-2005,AK,99557,*
12-31-2005,AK,99558,*
12-31-2005,AK,99559,4
12-31-2005,AK,99561,*
12-31-2005,AK,99563,*
12-31-2005,AK,99564,*
12-31-2005,AK,99565,*
12-31-2005,AK,99567,4
12-31-2005,AK,99568,*
12-31-2005,AK,99569,*
12-31-2005,AK,99571,*
12-31-2005,AK,99572,*
12-31-2005,AK,99573,*
12-31-2005,AK,99574,4
12-31-2005,AK,99575,*
12-31-2005,AK,99576,5
12-31-2005,AK,99577,7
12-31-2005,AK,99578,*
12-31-2005,AK,99579,*
12-31-2005,AK,99580,*
12-31-2005,AK,99581,*
12-31-2005,AK,99583,*
12-31-2005,AK,99585,*
12-31-2005,AK,99586,*
12-31-2005,AK,99587,*
12-31-2005,AK,99588,4
12-31-2005,AK,99589,*
12-31-2005,AK,99590,*
12-31-2005,AK,99591,*
12-31-2005,AK,99602,*
12-31-2005,AK,99603,4
12-31-2005,AK,99604,*
12-31-2005,AK,99606,*
12-31-2005,AK,99607,*
12-31-2005,AK,99610,*
12-31-2005,AK,99611,4
12-31-2005,AK,99612,*
12-31-2005,AK,99613,*
12-31-2005,AK,99614,*
12-31-2005,AK,99615,4
12-31-2005,AK,99620,*
12-31-2005,AK,99621,*
12-31-2005,AK,99622,*
12-31-2005,AK,99625,*
12-31-2005,AK,99626,*
12-31-2005,AK,99627,*
12-31-2005,AK,99628,*
12-31-2005,AK,99630,*
12-31-2005,AK,99631,4
12-31-2005,AK,99632,*
12-31-2005,AK,99633,*
12-31-2005,AK,99634,*
12-31-2005,AK,99636,*
12-31-2005,AK,99638,*
12-31-2005,AK,99639,*
12-31-2005,AK,99640,*
12-31-2005,AK,99645,5
12-31-2005,AK,99647,*
12-31-2005,AK,99648,*
12-31-2005,AK,99649,*
12-31-2005,AK,99650,*
12-31-2005,AK,99651,*
12-31-2005,AK,99653,*
12-31-2005,AK,99654,6
12-31-2005,AK,99655,*
12-31-2005,AK,99656,*
12-31-2005,AK,99657,*
12-31-2005,AK,99658,*
12-31-2005,AK,99659,*
12-31-2005,AK,99660,*
12-31-2005,AK,99661,*
12-31-2005,AK,99662,*
12-31-2005,AK,99664,4
12-31-2005,AK,99665,*
12-31-2005,AK,99667,*
12-31-2005,AK,99668,*
12-31-2005,AK,99669,4
12-31-2005,AK,99670,*
12-31-2005,AK,99671,*
12-31-2005,AK,99672,*
12-31-2005,AK,99676,*
12-31-2005,AK,99679,*
12-31-2005,AK,99681,*
12-31-2005,AK,99682,*
12-31-2005,AK,99683,*
12-31-2005,AK,99684,*
12-31-2005,AK,99685,*
12-31-2005,AK,99686,4
12-31-2005,AK,99688,4
12-31-2005,AK,99689,*
12-31-2005,AK,99691,*
12-31-2005,AK,99692,*
12-31-2005,AK,99701,5
12-31-2005,AK,99702,*
12-31-2005,AK,99703,*
12-31-2005,AK,99704,*
12-31-2005,AK,99705,5
12-31-2005,AK,99709,5
12-31-2005,AK,99712,*
12-31-2005,AK,99714,*
12-31-2005,AK,99720,*
12-31-2005,AK,99721,*
12-31-2005,AK,99722,*
12-31-2005,AK,99723,*
12-31-2005,AK,99724,*
12-31-2005,AK,99726,*
12-31-2005,AK,99727,*
12-31-2005,AK,99729,4
12-31-2005,AK,99730,*
12-31-2005,AK,99733,*
12-31-2005,AK,99734,*
12-31-2005,AK,99736,*
12-31-2005,AK,99737,4
12-31-2005,AK,99739,*
12-31-2005,AK,99740,*
12-31-2005,AK,99741,*
12-31-2005,AK,99742,*
12-31-2005,AK,99743,4
12-31-2005,AK,99744,*
12-31-2005,AK,99745,*
12-31-2005,AK,99746,*
12-31-2005,AK,99747,*
12-31-2005,AK,99748,*
12-31-2005,AK,99749,*
12-31-2005,AK,99750,*
12-31-2005,AK,99751,*
12-31-2005,AK,99752,*
12-31-2005,AK,99753,*
12-31-2005,AK,99755,*
12-31-2005,AK,99756,*
12-31-2005,AK,99757,*
12-31-2005,AK,99758,*
12-31-2005,AK,99759,*
12-31-2005,AK,99760,4
12-31-2005,AK,99761,*
12-31-2005,AK,99762,*
12-31-2005,AK,99763,*
12-31-2005,AK,99765,*
12-31-2005,AK,99766,*
12-31-2005,AK,99767,*
12-31-2005,AK,99768,*
12-31-2005,AK,99769,*
12-31-2005,AK,99770,*
12-31-2005,AK,99771,*
12-31-2005,AK,99772,*
12-31-2005,AK,99773,*
12-31-2005,AK,99774,*
12-31-2005,AK,99777,*
12-31-2005,AK,99778,*
12-31-2005,AK,99780,4
12-31-2005,AK,99781,*
12-31-2005,AK,99782,*
12-31-2005,AK,99783,*
12-31-2005,AK,99784,*
12-31-2005,AK,99785,*
12-31-2005,AK,99786,*
12-31-2005,AK,99788,*
12-31-2005,AK,99789,*
12-31-2005,AK,99801,4
12-31-2005,AK,99820,*
12-31-2005,AK,99824,*
12-31-2005,AK,99825,*
12-31-2005,AK,99826,*
12-31-2005,AK,99827,4
12-31-2005,AK,99829,*
12-31-2005,AK,99833,*
12-31-2005,AK,99835,4
12-31-2005,AK,99840,4
12-31-2005,AK,99901,5
12-31-2005,AK,99903,*
12-31-2005,AK,99919,*
12-31-2005,AK,99921,4
12-31-2005,AK,99922,*
12-31-2005,AK,99923,*
12-31-2005,AK,99925,*
12-31-2005,AK,99926,*
12-31-2005,AK,99927,*
12-31-2005,AK,99929,*
12-31-2005,AK,99950,*
12-31-2005,AL,35004,5
12-31-2005,AL,35005,5
12-31-2005,AL,35006,*
12-31-2005,AL,35007,9
12-31-2005,AL,35010,7
12-31-2005,AL,35014,6
12-31-2005,AL,35016,6
12-31-2005,AL,35019,6
12-31-2005,AL,35020,11
12-31-2005,AL,35022,13
