year,STATE,ZIP,Prov
12-31-2000,AK,99501,*
12-31-2000,AK,99502,*
12-31-2000,AK,99503,*
12-31-2000,AK,99504,*
12-31-2000,AK,99505,*
12-31-2000,AK,99506,*
12-31-2000,AK,99507,*
12-31-2000,AK,99508,*
12-31-2000,AK,99515,*
12-31-2000,AK,99516,*
12-31-2000,AK,99517,*
12-31-2000,AK,99518,*
12-31-2000,AK,99556,*
12-31-2000,AK,99559,*
12-31-2000,AK,99567,*
12-31-2000,AK,99574,*
12-31-2000,AK,99576,*
12-31-2000,AK,99577,*
12-31-2000,AK,99603,*
12-31-2000,AK,99611,*
12-31-2000,AK,99613,*
12-31-2000,AK,99615,*
12-31-2000,AK,99645,*
12-31-2000,AK,99654,*
12-31-2000,AK,99664,*
12-31-2000,AK,99669,*
12-31-2000,AK,99685,*
12-31-2000,AK,99686,*
12-31-2000,AK,99687,*
12-31-2000,AK,99692,*
12-31-2000,AK,99701,*
12-31-2000,AK,99702,*
12-31-2000,AK,99703,*
12-31-2000,AK,99705,*
12-31-2000,AK,99709,*
12-31-2000,AK,99723,*
12-31-2000,AK,99730,*
12-31-2000,AK,99734,*
12-31-2000,AK,99752,*
12-31-2000,AK,99756,*
12-31-2000,AK,99762,*
12-31-2000,AK,99801,*
12-31-2000,AK,99827,*
12-31-2000,AK,99833,*
12-31-2000,AK,99835,*
12-31-2000,AK,99901,*
12-31-2000,AK,99921,*
12-31-2000,AK,99926,*
12-31-2000,AL,35004,*
12-31-2000,AL,35005,*
12-31-2000,AL,35006,*
12-31-2000,AL,35007,4
12-31-2000,AL,35010,*
12-31-2000,AL,35014,*
12-31-2000,AL,35016,*
12-31-2000,AL,35019,*
12-31-2000,AL,35020,4
12-31-2000,AL,35022,*
12-31-2000,AL,35023,5
12-31-2000,AL,35031,*
12-31-2000,AL,35033,*
12-31-2000,AL,35034,*
12-31-2000,AL,35036,*
12-31-2000,AL,35040,*
12-31-2000,AL,35041,*
12-31-2000,AL,35042,*
12-31-2000,AL,35043,*
12-31-2000,AL,35044,*
12-31-2000,AL,35045,*
12-31-2000,AL,35046,*
12-31-2000,AL,35049,*
12-31-2000,AL,35051,*
12-31-2000,AL,35053,*
12-31-2000,AL,35054,*
12-31-2000,AL,35055,*
12-31-2000,AL,35057,*
12-31-2000,AL,35058,*
12-31-2000,AL,35061,*
12-31-2000,AL,35062,*
12-31-2000,AL,35063,*
12-31-2000,AL,35064,4
12-31-2000,AL,35068,*
12-31-2000,AL,35071,*
12-31-2000,AL,35072,*
12-31-2000,AL,35073,*
12-31-2000,AL,35077,*
12-31-2000,AL,35078,*
12-31-2000,AL,35079,*
12-31-2000,AL,35080,*
12-31-2000,AL,35083,*
12-31-2000,AL,35085,*
12-31-2000,AL,35087,*
12-31-2000,AL,35089,*
12-31-2000,AL,35091,*
12-31-2000,AL,35094,*
12-31-2000,AL,35096,*
12-31-2000,AL,35111,*
12-31-2000,AL,35114,*
12-31-2000,AL,35115,*
12-31-2000,AL,35116,*
12-31-2000,AL,35117,*
12-31-2000,AL,35118,*
12-31-2000,AL,35120,*
12-31-2000,AL,35121,*
12-31-2000,AL,35124,4
12-31-2000,AL,35125,*
12-31-2000,AL,35126,4
12-31-2000,AL,35127,*
12-31-2000,AL,35128,*
12-31-2000,AL,35130,*
12-31-2000,AL,35133,*
12-31-2000,AL,35136,*
12-31-2000,AL,35143,*
12-31-2000,AL,35146,*
12-31-2000,AL,35147,*
12-31-2000,AL,35148,*
12-31-2000,AL,35150,*
12-31-2000,AL,35151,*
12-31-2000,AL,35160,*
12-31-2000,AL,35171,*
12-31-2000,AL,35172,*
12-31-2000,AL,35173,*
12-31-2000,AL,35175,*
12-31-2000,AL,35176,*
12-31-2000,AL,35178,*
12-31-2000,AL,35179,*
12-31-2000,AL,35180,*
12-31-2000,AL,35184,*
12-31-2000,AL,35186,*
12-31-2000,AL,35188,*
12-31-2000,AL,35203,4
12-31-2000,AL,35204,4
12-31-2000,AL,35205,*
12-31-2000,AL,35206,*
12-31-2000,AL,35207,*
12-31-2000,AL,35208,*
12-31-2000,AL,35209,5
12-31-2000,AL,35210,5
12-31-2000,AL,35211,*
12-31-2000,AL,35212,4
12-31-2000,AL,35213,4
12-31-2000,AL,35214,*
12-31-2000,AL,35215,5
12-31-2000,AL,35216,5
12-31-2000,AL,35217,4
12-31-2000,AL,35218,*
12-31-2000,AL,35221,*
12-31-2000,AL,35222,*
12-31-2000,AL,35223,4
12-31-2000,AL,35224,*
12-31-2000,AL,35226,*
12-31-2000,AL,35228,4
12-31-2000,AL,35229,*
12-31-2000,AL,35233,4
12-31-2000,AL,35234,*
12-31-2000,AL,35235,4
12-31-2000,AL,35242,4
12-31-2000,AL,35243,5
12-31-2000,AL,35244,5
12-31-2000,AL,35254,*
12-31-2000,AL,35401,*
12-31-2000,AL,35404,*
12-31-2000,AL,35405,4
12-31-2000,AL,35406,*
12-31-2000,AL,35444,*
12-31-2000,AL,35447,*
12-31-2000,AL,35452,*
12-31-2000,AL,35453,4
12-31-2000,AL,35456,*
12-31-2000,AL,35462,*
12-31-2000,AL,35463,*
12-31-2000,AL,35470,*
12-31-2000,AL,35473,*
12-31-2000,AL,35474,*
12-31-2000,AL,35475,*
12-31-2000,AL,35476,*
12-31-2000,AL,35481,*
12-31-2000,AL,35490,*
12-31-2000,AL,35501,*
12-31-2000,AL,35503,*
12-31-2000,AL,35504,*
12-31-2000,AL,35540,*
12-31-2000,AL,35541,*
12-31-2000,AL,35543,*
12-31-2000,AL,35546,*
12-31-2000,AL,35549,*
12-31-2000,AL,35550,*
12-31-2000,AL,35553,*
12-31-2000,AL,35554,*
12-31-2000,AL,35555,*
12-31-2000,AL,35565,*
12-31-2000,AL,35570,*
12-31-2000,AL,35575,*
12-31-2000,AL,35578,*
12-31-2000,AL,35579,*
12-31-2000,AL,35580,*
12-31-2000,AL,35582,*
12-31-2000,AL,35586,*
12-31-2000,AL,35594,*
12-31-2000,AL,35601,4
12-31-2000,AL,35603,*
12-31-2000,AL,35610,*
12-31-2000,AL,35611,*
12-31-2000,AL,35613,4
12-31-2000,AL,35614,*
12-31-2000,AL,35616,*
12-31-2000,AL,35618,*
12-31-2000,AL,35619,*
12-31-2000,AL,35620,*
12-31-2000,AL,35621,*
12-31-2000,AL,35622,*
12-31-2000,AL,35630,*
12-31-2000,AL,35633,*
12-31-2000,AL,35634,*
12-31-2000,AL,35640,*
12-31-2000,AL,35643,*
12-31-2000,AL,35645,*
