year,STATE,ZIP,Prov
6-30-2007,AK,99501,8
6-30-2007,AK,99502,7
6-30-2007,AK,99503,7
6-30-2007,AK,99504,7
6-30-2007,AK,99505,*
6-30-2007,AK,99506,5
6-30-2007,AK,99507,8
6-30-2007,AK,99508,8
6-30-2007,AK,99515,8
6-30-2007,AK,99516,7
6-30-2007,AK,99517,4
6-30-2007,AK,99518,7
6-30-2007,AK,99540,*
6-30-2007,AK,99546,*
6-30-2007,AK,99547,*
6-30-2007,AK,99549,*
6-30-2007,AK,99551,*
6-30-2007,AK,99552,*
6-30-2007,AK,99553,*
6-30-2007,AK,99554,*
6-30-2007,AK,99555,*
6-30-2007,AK,99556,4
6-30-2007,AK,99557,*
6-30-2007,AK,99558,*
6-30-2007,AK,99559,4
6-30-2007,AK,99561,*
6-30-2007,AK,99563,*
6-30-2007,AK,99564,*
6-30-2007,AK,99565,*
6-30-2007,AK,99567,4
6-30-2007,AK,99568,*
6-30-2007,AK,99569,*
6-30-2007,AK,99571,*
6-30-2007,AK,99572,*
6-30-2007,AK,99573,*
6-30-2007,AK,99574,4
6-30-2007,AK,99575,*
6-30-2007,AK,99576,4
6-30-2007,AK,99577,8
6-30-2007,AK,99578,*
6-30-2007,AK,99579,*
6-30-2007,AK,99580,*
6-30-2007,AK,99581,*
6-30-2007,AK,99583,*
6-30-2007,AK,99585,*
6-30-2007,AK,99586,*
6-30-2007,AK,99587,*
6-30-2007,AK,99588,4
6-30-2007,AK,99589,*
6-30-2007,AK,99590,*
6-30-2007,AK,99591,*
6-30-2007,AK,99602,*
6-30-2007,AK,99603,5
6-30-2007,AK,99604,*
6-30-2007,AK,99606,4
6-30-2007,AK,99607,*
6-30-2007,AK,99610,*
6-30-2007,AK,99611,5
6-30-2007,AK,99612,*
6-30-2007,AK,99613,*
6-30-2007,AK,99614,*
6-30-2007,AK,99615,5
6-30-2007,AK,99620,*
6-30-2007,AK,99621,*
6-30-2007,AK,99622,*
6-30-2007,AK,99625,*
6-30-2007,AK,99626,*
6-30-2007,AK,99627,*
6-30-2007,AK,99628,*
6-30-2007,AK,99630,*
6-30-2007,AK,99631,*
6-30-2007,AK,99632,*
6-30-2007,AK,99633,*
6-30-2007,AK,99634,*
6-30-2007,AK,99636,*
6-30-2007,AK,99638,*
6-30-2007,AK,99639,*
6-30-2007,AK,99640,*
6-30-2007,AK,99645,5
6-30-2007,AK,99647,*
6-30-2007,AK,99648,*
6-30-2007,AK,99649,*
6-30-2007,AK,99650,*
6-30-2007,AK,99651,*
6-30-2007,AK,99653,*
6-30-2007,AK,99654,5
6-30-2007,AK,99655,*
6-30-2007,AK,99656,*
6-30-2007,AK,99657,*
6-30-2007,AK,99658,*
6-30-2007,AK,99659,*
6-30-2007,AK,99660,*
6-30-2007,AK,99661,*
6-30-2007,AK,99662,*
6-30-2007,AK,99664,*
6-30-2007,AK,99665,*
6-30-2007,AK,99667,*
6-30-2007,AK,99668,*
6-30-2007,AK,99669,5
6-30-2007,AK,99670,*
6-30-2007,AK,99671,*
6-30-2007,AK,99672,4
6-30-2007,AK,99676,*
6-30-2007,AK,99679,*
6-30-2007,AK,99681,*
6-30-2007,AK,99682,4
6-30-2007,AK,99683,*
6-30-2007,AK,99684,*
6-30-2007,AK,99685,4
6-30-2007,AK,99686,6
6-30-2007,AK,99688,*
6-30-2007,AK,99689,*
6-30-2007,AK,99691,*
6-30-2007,AK,99692,*
6-30-2007,AK,99701,5
6-30-2007,AK,99702,*
6-30-2007,AK,99703,*
6-30-2007,AK,99704,4
6-30-2007,AK,99705,5
6-30-2007,AK,99709,5
6-30-2007,AK,99712,4
6-30-2007,AK,99714,4
6-30-2007,AK,99720,*
6-30-2007,AK,99721,*
6-30-2007,AK,99722,*
6-30-2007,AK,99723,*
6-30-2007,AK,99724,*
6-30-2007,AK,99726,*
6-30-2007,AK,99727,*
6-30-2007,AK,99729,4
6-30-2007,AK,99730,*
6-30-2007,AK,99733,*
6-30-2007,AK,99734,*
6-30-2007,AK,99736,*
6-30-2007,AK,99737,5
6-30-2007,AK,99739,*
6-30-2007,AK,99740,*
6-30-2007,AK,99741,4
6-30-2007,AK,99742,*
6-30-2007,AK,99743,4
6-30-2007,AK,99744,*
6-30-2007,AK,99745,*
6-30-2007,AK,99746,*
6-30-2007,AK,99747,*
6-30-2007,AK,99748,*
6-30-2007,AK,99749,*
6-30-2007,AK,99750,*
6-30-2007,AK,99751,*
6-30-2007,AK,99752,*
6-30-2007,AK,99753,*
6-30-2007,AK,99755,*
6-30-2007,AK,99756,*
6-30-2007,AK,99757,*
6-30-2007,AK,99758,*
6-30-2007,AK,99759,*
6-30-2007,AK,99760,4
6-30-2007,AK,99761,*
6-30-2007,AK,99762,4
6-30-2007,AK,99763,*
6-30-2007,AK,99765,*
6-30-2007,AK,99766,*
6-30-2007,AK,99767,*
6-30-2007,AK,99768,*
6-30-2007,AK,99769,*
6-30-2007,AK,99770,*
6-30-2007,AK,99771,*
6-30-2007,AK,99772,*
6-30-2007,AK,99773,*
6-30-2007,AK,99774,*
6-30-2007,AK,99777,*
6-30-2007,AK,99778,*
6-30-2007,AK,99780,4
6-30-2007,AK,99781,*
6-30-2007,AK,99782,*
6-30-2007,AK,99783,*
6-30-2007,AK,99784,*
6-30-2007,AK,99785,*
6-30-2007,AK,99786,*
6-30-2007,AK,99788,*
