year,STATE,ZIP,Prov
12-31-2002,AK,99501,4
12-31-2002,AK,99502,*
12-31-2002,AK,99503,*
12-31-2002,AK,99504,4
12-31-2002,AK,99505,*
12-31-2002,AK,99506,*
12-31-2002,AK,99507,*
12-31-2002,AK,99508,4
12-31-2002,AK,99515,*
12-31-2002,AK,99516,*
12-31-2002,AK,99517,4
12-31-2002,AK,99518,*
12-31-2002,AK,99549,*
12-31-2002,AK,99552,*
12-31-2002,AK,99554,*
12-31-2002,AK,99556,*
12-31-2002,AK,99557,*
12-31-2002,AK,99558,*
12-31-2002,AK,99559,*
12-31-2002,AK,99563,*
12-31-2002,AK,99564,*
12-31-2002,AK,99565,*
12-31-2002,AK,99567,*
12-31-2002,AK,99568,*
12-31-2002,AK,99569,*
12-31-2002,AK,99572,*
12-31-2002,AK,99573,*
12-31-2002,AK,99574,*
12-31-2002,AK,99575,*
12-31-2002,AK,99576,*
12-31-2002,AK,99577,*
12-31-2002,AK,99578,*
12-31-2002,AK,99579,*
12-31-2002,AK,99580,*
12-31-2002,AK,99581,*
12-31-2002,AK,99585,*
12-31-2002,AK,99586,*
12-31-2002,AK,99587,*
12-31-2002,AK,99588,*
12-31-2002,AK,99591,*
12-31-2002,AK,99602,*
12-31-2002,AK,99603,*
12-31-2002,AK,99604,*
12-31-2002,AK,99606,*
12-31-2002,AK,99607,*
12-31-2002,AK,99610,*
12-31-2002,AK,99611,*
12-31-2002,AK,99613,*
12-31-2002,AK,99614,*
12-31-2002,AK,99615,*
12-31-2002,AK,99620,*
12-31-2002,AK,99621,*
12-31-2002,AK,99622,*
12-31-2002,AK,99625,*
12-31-2002,AK,99626,*
12-31-2002,AK,99627,*
12-31-2002,AK,99628,*
12-31-2002,AK,99630,*
12-31-2002,AK,99631,*
12-31-2002,AK,99632,*
12-31-2002,AK,99633,*
12-31-2002,AK,99636,*
12-31-2002,AK,99638,*
12-31-2002,AK,99639,*
12-31-2002,AK,99640,*
12-31-2002,AK,99645,*
12-31-2002,AK,99647,*
12-31-2002,AK,99649,*
12-31-2002,AK,99651,*
12-31-2002,AK,99653,*
12-31-2002,AK,99654,*
12-31-2002,AK,99656,*
12-31-2002,AK,99657,*
12-31-2002,AK,99658,*
12-31-2002,AK,99660,*
12-31-2002,AK,99662,*
12-31-2002,AK,99664,*
12-31-2002,AK,99667,*
12-31-2002,AK,99668,*
12-31-2002,AK,99669,*
12-31-2002,AK,99670,*
12-31-2002,AK,99671,*
12-31-2002,AK,99672,*
12-31-2002,AK,99676,*
12-31-2002,AK,99681,*
12-31-2002,AK,99683,*
12-31-2002,AK,99684,*
12-31-2002,AK,99685,*
12-31-2002,AK,99686,*
12-31-2002,AK,99687,*
12-31-2002,AK,99688,*
12-31-2002,AK,99689,*
12-31-2002,AK,99691,*
12-31-2002,AK,99701,*
12-31-2002,AK,99702,*
12-31-2002,AK,99703,*
12-31-2002,AK,99705,*
12-31-2002,AK,99709,*
12-31-2002,AK,99712,*
12-31-2002,AK,99714,*
12-31-2002,AK,99720,*
12-31-2002,AK,99723,*
12-31-2002,AK,99726,*
12-31-2002,AK,99727,*
12-31-2002,AK,99729,*
12-31-2002,AK,99730,*
12-31-2002,AK,99733,*
12-31-2002,AK,99734,*
12-31-2002,AK,99737,*
12-31-2002,AK,99739,*
12-31-2002,AK,99740,*
12-31-2002,AK,99741,*
12-31-2002,AK,99742,*
12-31-2002,AK,99743,*
12-31-2002,AK,99747,*
12-31-2002,AK,99752,*
12-31-2002,AK,99753,*
12-31-2002,AK,99755,*
12-31-2002,AK,99756,*
12-31-2002,AK,99757,*
12-31-2002,AK,99759,*
12-31-2002,AK,99760,*
12-31-2002,AK,99761,*
12-31-2002,AK,99762,*
12-31-2002,AK,99766,*
12-31-2002,AK,99767,*
12-31-2002,AK,99768,*
12-31-2002,AK,99769,*
12-31-2002,AK,99771,*
12-31-2002,AK,99772,*
12-31-2002,AK,99777,*
12-31-2002,AK,99778,*
12-31-2002,AK,99780,*
12-31-2002,AK,99781,*
12-31-2002,AK,99782,*
12-31-2002,AK,99783,*
12-31-2002,AK,99784,*
12-31-2002,AK,99786,*
12-31-2002,AK,99789,*
12-31-2002,AK,99801,*
12-31-2002,AK,99820,*
12-31-2002,AK,99824,*
12-31-2002,AK,99826,*
12-31-2002,AK,99827,*
12-31-2002,AK,99829,*
12-31-2002,AK,99833,*
12-31-2002,AK,99835,*
12-31-2002,AK,99840,*
12-31-2002,AK,99901,4
12-31-2002,AK,99903,*
12-31-2002,AK,99919,*
12-31-2002,AK,99921,*
12-31-2002,AK,99922,*
12-31-2002,AK,99923,*
12-31-2002,AK,99925,*
12-31-2002,AK,99929,*
12-31-2002,AK,99950,*
12-31-2002,AL,35004,4
12-31-2002,AL,35005,4
12-31-2002,AL,35006,*
12-31-2002,AL,35007,7
12-31-2002,AL,35010,*
12-31-2002,AL,35014,*
12-31-2002,AL,35016,4
12-31-2002,AL,35020,7
12-31-2002,AL,35022,6
12-31-2002,AL,35023,8
12-31-2002,AL,35031,*
12-31-2002,AL,35033,*
12-31-2002,AL,35034,*
12-31-2002,AL,35035,*
12-31-2002,AL,35036,*
12-31-2002,AL,35040,4
12-31-2002,AL,35042,*
12-31-2002,AL,35043,*
12-31-2002,AL,35044,4
12-31-2002,AL,35045,*
12-31-2002,AL,35046,*
12-31-2002,AL,35049,*
12-31-2002,AL,35051,4
12-31-2002,AL,35053,*
12-31-2002,AL,35054,*
12-31-2002,AL,35055,4
12-31-2002,AL,35057,*
12-31-2002,AL,35058,*
12-31-2002,AL,35061,*
12-31-2002,AL,35062,*
12-31-2002,AL,35063,*
12-31-2002,AL,35064,4
12-31-2002,AL,35068,*
12-31-2002,AL,35071,4
12-31-2002,AL,35072,*
12-31-2002,AL,35073,4
12-31-2002,AL,35077,*
12-31-2002,AL,35078,*
12-31-2002,AL,35079,*
12-31-2002,AL,35080,5
12-31-2002,AL,35083,*
12-31-2002,AL,35085,4
12-31-2002,AL,35087,*
12-31-2002,AL,35089,*
