year,STATE,ZIP,Prov
12-31-2001,AK,99501,5
12-31-2001,AK,99502,*
12-31-2001,AK,99503,4
12-31-2001,AK,99504,5
12-31-2001,AK,99505,*
12-31-2001,AK,99506,*
12-31-2001,AK,99507,4
12-31-2001,AK,99508,4
12-31-2001,AK,99515,4
12-31-2001,AK,99516,*
12-31-2001,AK,99517,*
12-31-2001,AK,99518,4
12-31-2001,AK,99549,*
12-31-2001,AK,99556,*
12-31-2001,AK,99557,*
12-31-2001,AK,99559,*
12-31-2001,AK,99565,*
12-31-2001,AK,99567,*
12-31-2001,AK,99568,*
12-31-2001,AK,99575,*
12-31-2001,AK,99576,*
12-31-2001,AK,99577,*
12-31-2001,AK,99579,*
12-31-2001,AK,99585,*
12-31-2001,AK,99586,*
12-31-2001,AK,99587,*
12-31-2001,AK,99588,*
12-31-2001,AK,99591,*
12-31-2001,AK,99603,*
12-31-2001,AK,99606,*
12-31-2001,AK,99610,*
12-31-2001,AK,99611,*
12-31-2001,AK,99613,*
12-31-2001,AK,99614,*
12-31-2001,AK,99615,*
12-31-2001,AK,99622,*
12-31-2001,AK,99625,*
12-31-2001,AK,99627,*
12-31-2001,AK,99632,*
12-31-2001,AK,99633,*
12-31-2001,AK,99639,*
12-31-2001,AK,99640,*
12-31-2001,AK,99645,*
12-31-2001,AK,99647,*
12-31-2001,AK,99649,*
12-31-2001,AK,99650,*
12-31-2001,AK,99653,*
12-31-2001,AK,99654,*
12-31-2001,AK,99656,*
12-31-2001,AK,99657,*
12-31-2001,AK,99658,*
12-31-2001,AK,99660,*
12-31-2001,AK,99664,*
12-31-2001,AK,99667,*
12-31-2001,AK,99669,*
12-31-2001,AK,99670,*
12-31-2001,AK,99672,*
12-31-2001,AK,99676,*
12-31-2001,AK,99681,*
12-31-2001,AK,99682,*
12-31-2001,AK,99683,*
12-31-2001,AK,99685,*
12-31-2001,AK,99687,*
12-31-2001,AK,99688,*
12-31-2001,AK,99689,*
12-31-2001,AK,99691,*
12-31-2001,AK,99701,*
12-31-2001,AK,99702,*
12-31-2001,AK,99703,*
12-31-2001,AK,99705,*
12-31-2001,AK,99709,*
12-31-2001,AK,99712,*
12-31-2001,AK,99720,*
12-31-2001,AK,99723,*
12-31-2001,AK,99726,*
12-31-2001,AK,99727,*
12-31-2001,AK,99729,*
12-31-2001,AK,99730,*
12-31-2001,AK,99734,*
12-31-2001,AK,99737,*
12-31-2001,AK,99739,*
12-31-2001,AK,99740,*
12-31-2001,AK,99742,*
12-31-2001,AK,99743,*
12-31-2001,AK,99747,*
12-31-2001,AK,99757,*
12-31-2001,AK,99760,*
12-31-2001,AK,99762,*
12-31-2001,AK,99768,*
12-31-2001,AK,99771,*
12-31-2001,AK,99772,*
12-31-2001,AK,99777,*
12-31-2001,AK,99778,*
12-31-2001,AK,99780,*
12-31-2001,AK,99782,*
12-31-2001,AK,99783,*
12-31-2001,AK,99784,*
12-31-2001,AK,99789,*
12-31-2001,AK,99801,*
12-31-2001,AK,99824,*
12-31-2001,AK,99826,*
12-31-2001,AK,99827,*
12-31-2001,AK,99833,*
12-31-2001,AK,99835,*
12-31-2001,AK,99840,*
12-31-2001,AK,99901,*
12-31-2001,AK,99903,*
12-31-2001,AK,99919,*
12-31-2001,AK,99921,*
12-31-2001,AK,99922,*
12-31-2001,AK,99923,*
12-31-2001,AK,99925,*
12-31-2001,AK,99926,*
12-31-2001,AK,99929,*
12-31-2001,AK,99950,*
12-31-2001,AL,35004,*
12-31-2001,AL,35005,*
12-31-2001,AL,35006,*
12-31-2001,AL,35007,6
12-31-2001,AL,35010,*
12-31-2001,AL,35014,*
12-31-2001,AL,35016,5
12-31-2001,AL,35019,*
12-31-2001,AL,35020,6
12-31-2001,AL,35022,4
12-31-2001,AL,35023,5
12-31-2001,AL,35031,*
12-31-2001,AL,35034,*
12-31-2001,AL,35035,*
12-31-2001,AL,35036,*
12-31-2001,AL,35040,4
12-31-2001,AL,35041,*
12-31-2001,AL,35042,5
12-31-2001,AL,35043,*
12-31-2001,AL,35044,*
12-31-2001,AL,35045,4
12-31-2001,AL,35046,*
12-31-2001,AL,35049,*
12-31-2001,AL,35051,4
12-31-2001,AL,35053,*
12-31-2001,AL,35054,*
12-31-2001,AL,35055,5
12-31-2001,AL,35057,*
12-31-2001,AL,35058,4
12-31-2001,AL,35061,*
12-31-2001,AL,35062,*
12-31-2001,AL,35063,*
12-31-2001,AL,35064,*
12-31-2001,AL,35068,*
12-31-2001,AL,35071,*
12-31-2001,AL,35072,4
12-31-2001,AL,35073,*
12-31-2001,AL,35077,*
12-31-2001,AL,35078,*
12-31-2001,AL,35079,*
12-31-2001,AL,35080,*
12-31-2001,AL,35083,*
12-31-2001,AL,35085,*
12-31-2001,AL,35087,*
12-31-2001,AL,35089,*
12-31-2001,AL,35091,*
12-31-2001,AL,35094,4
12-31-2001,AL,35096,*
12-31-2001,AL,35111,5
12-31-2001,AL,35114,*
12-31-2001,AL,35115,*
12-31-2001,AL,35116,*
12-31-2001,AL,35117,*
12-31-2001,AL,35118,*
12-31-2001,AL,35120,*
12-31-2001,AL,35121,4
12-31-2001,AL,35124,*
12-31-2001,AL,35125,*
12-31-2001,AL,35126,4
12-31-2001,AL,35127,*
12-31-2001,AL,35128,4
12-31-2001,AL,35130,*
12-31-2001,AL,35131,*
12-31-2001,AL,35133,*
12-31-2001,AL,35136,4
12-31-2001,AL,35143,*
12-31-2001,AL,35146,4
12-31-2001,AL,35147,4
12-31-2001,AL,35148,*
12-31-2001,AL,35150,4
12-31-2001,AL,35151,*
12-31-2001,AL,35160,5
12-31-2001,AL,35171,*
12-31-2001,AL,35172,*
12-31-2001,AL,35173,5
12-31-2001,AL,35175,5
12-31-2001,AL,35176,*
12-31-2001,AL,35178,*
12-31-2001,AL,35179,4
12-31-2001,AL,35180,4
12-31-2001,AL,35183,*
12-31-2001,AL,35184,*
12-31-2001,AL,35186,4
12-31-2001,AL,35188,*
12-31-2001,AL,35203,5
12-31-2001,AL,35204,4
12-31-2001,AL,35205,4
12-31-2001,AL,35206,5
12-31-2001,AL,35207,4
12-31-2001,AL,35208,*
12-31-2001,AL,35209,7
12-31-2001,AL,35210,7
12-31-2001,AL,35211,*
12-31-2001,AL,35212,5
12-31-2001,AL,35213,5
12-31-2001,AL,35214,5
12-31-2001,AL,35215,6
12-31-2001,AL,35216,6
12-31-2001,AL,35217,4
12-31-2001,AL,35218,5
12-31-2001,AL,35221,*
12-31-2001,AL,35222,*
12-31-2001,AL,35223,4
12-31-2001,AL,35224,*
12-31-2001,AL,35226,*
12-31-2001,AL,35228,*
12-31-2001,AL,35229,*
12-31-2001,AL,35233,*
12-31-2001,AL,35234,*
12-31-2001,AL,35235,5
12-31-2001,AL,35242,6
12-31-2001,AL,35243,6
12-31-2001,AL,35244,6
12-31-2001,AL,35254,*
12-31-2001,AL,35401,4
12-31-2001,AL,35404,4
12-31-2001,AL,35405,5
12-31-2001,AL,35406,*
12-31-2001,AL,35442,*
12-31-2001,AL,35444,*
12-31-2001,AL,35446,*
12-31-2001,AL,35447,*
12-31-2001,AL,35452,*
12-31-2001,AL,35453,4
12-31-2001,AL,35456,4
12-31-2001,AL,35459,*
12-31-2001,AL,35461,*
12-31-2001,AL,35462,*
12-31-2001,AL,35463,*
12-31-2001,AL,35464,*
12-31-2001,AL,35466,*
12-31-2001,AL,35470,*
12-31-2001,AL,35473,*
12-31-2001,AL,35474,*
12-31-2001,AL,35475,*
12-31-2001,AL,35476,4
12-31-2001,AL,35481,*
12-31-2001,AL,35487,*
12-31-2001,AL,35490,*
12-31-2001,AL,35501,4
12-31-2001,AL,35503,4
12-31-2001,AL,35504,4
12-31-2001,AL,35540,*
12-31-2001,AL,35541,*
12-31-2001,AL,35543,*
12-31-2001,AL,35546,*
12-31-2001,AL,35549,*
12-31-2001,AL,35550,*
12-31-2001,AL,35552,*
12-31-2001,AL,35553,*
12-31-2001,AL,35554,*
12-31-2001,AL,35555,*
12-31-2001,AL,35563,*
12-31-2001,AL,35565,*
12-31-2001,AL,35570,*
12-31-2001,AL,35578,*
12-31-2001,AL,35579,*
12-31-2001,AL,35580,*
12-31-2001,AL,35581,*
12-31-2001,AL,35582,*
12-31-2001,AL,35585,*
12-31-2001,AL,35586,*
12-31-2001,AL,35587,*
12-31-2001,AL,35592,*
12-31-2001,AL,35594,*
12-31-2001,AL,35601,5
12-31-2001,AL,35603,*
12-31-2001,AL,35610,*
12-31-2001,AL,35611,*
12-31-2001,AL,35613,4
12-31-2001,AL,35614,*
12-31-2001,AL,35616,*
12-31-2001,AL,35618,*
12-31-2001,AL,35619,*
12-31-2001,AL,35620,*
12-31-2001,AL,35621,*
12-31-2001,AL,35622,*
12-31-2001,AL,35630,*
12-31-2001,AL,35633,*
12-31-2001,AL,35634,4
12-31-2001,AL,35640,4
12-31-2001,AL,35643,*
12-31-2001,AL,35645,*
12-31-2001,AL,35646,*
12-31-2001,AL,35647,*
12-31-2001,AL,35648,*
12-31-2001,AL,35650,4
12-31-2001,AL,35652,*
12-31-2001,AL,35653,*
12-31-2001,AL,35654,*
12-31-2001,AL,35660,*
12-31-2001,AL,35661,*
12-31-2001,AL,35670,4
12-31-2001,AL,35671,*
12-31-2001,AL,35672,*
12-31-2001,AL,35673,5
12-31-2001,AL,35674,*
12-31-2001,AL,35739,*
12-31-2001,AL,35740,*
12-31-2001,AL,35741,*
12-31-2001,AL,35744,*
12-31-2001,AL,35745,*
12-31-2001,AL,35747,*
12-31-2001,AL,35748,4
12-31-2001,AL,35749,4
12-31-2001,AL,35750,4
12-31-2001,AL,35751,*
12-31-2001,AL,35754,*
12-31-2001,AL,35755,*
12-31-2001,AL,35756,4
12-31-2001,AL,35757,*
12-31-2001,AL,35758,6
12-31-2001,AL,35759,4
12-31-2001,AL,35760,*
12-31-2001,AL,35761,*
12-31-2001,AL,35763,*
12-31-2001,AL,35765,*
12-31-2001,AL,35768,4
12-31-2001,AL,35769,4
12-31-2001,AL,35771,*
12-31-2001,AL,35772,*
12-31-2001,AL,35773,*
12-31-2001,AL,35775,*
12-31-2001,AL,35776,*
12-31-2001,AL,35801,5
12-31-2001,AL,35802,6
12-31-2001,AL,35803,5
12-31-2001,AL,35805,4
12-31-2001,AL,35806,7
12-31-2001,AL,35808,*
12-31-2001,AL,35810,5
12-31-2001,AL,35811,5
12-31-2001,AL,35816,4
12-31-2001,AL,35824,4
12-31-2001,AL,35898,*
12-31-2001,AL,35901,5
12-31-2001,AL,35903,4
12-31-2001,AL,35904,*
12-31-2001,AL,35905,4
12-31-2001,AL,35906,4
12-31-2001,AL,35907,*
12-31-2001,AL,35950,4
12-31-2001,AL,35951,*
12-31-2001,AL,35952,*
12-31-2001,AL,35953,*
12-31-2001,AL,35954,*
12-31-2001,AL,35956,*
12-31-2001,AL,35957,*
12-31-2001,AL,35958,*
12-31-2001,AL,35959,*
12-31-2001,AL,35960,*
12-31-2001,AL,35961,*
12-31-2001,AL,35962,*
12-31-2001,AL,35963,*
12-31-2001,AL,35966,*
12-31-2001,AL,35967,4
12-31-2001,AL,35968,*
12-31-2001,AL,35971,*
12-31-2001,AL,35973,*
12-31-2001,AL,35974,*
12-31-2001,AL,35975,*
12-31-2001,AL,35976,5
12-31-2001,AL,35978,*
12-31-2001,AL,35979,*
12-31-2001,AL,35980,*
12-31-2001,AL,35981,*
12-31-2001,AL,35984,*
12-31-2001,AL,35986,5
12-31-2001,AL,35988,*
12-31-2001,AL,35989,*
12-31-2001,AL,36003,*
12-31-2001,AL,36005,*
12-31-2001,AL,36006,*
12-31-2001,AL,36009,*
12-31-2001,AL,36010,*
12-31-2001,AL,36013,*
12-31-2001,AL,36016,*
12-31-2001,AL,36020,*
12-31-2001,AL,36022,*
12-31-2001,AL,36024,*
12-31-2001,AL,36025,*
12-31-2001,AL,36026,*
12-31-2001,AL,36027,*
12-31-2001,AL,36028,*
12-31-2001,AL,36029,*
12-31-2001,AL,36032,*
12-31-2001,AL,36033,*
