year,STATE,ZIP,Prov
6-30-2003,AK,99501,4
6-30-2003,AK,99502,*
6-30-2003,AK,99503,*
6-30-2003,AK,99504,4
6-30-2003,AK,99505,*
6-30-2003,AK,99506,*
6-30-2003,AK,99507,*
6-30-2003,AK,99508,*
6-30-2003,AK,99515,4
6-30-2003,AK,99516,*
6-30-2003,AK,99517,*
6-30-2003,AK,99518,*
6-30-2003,AK,99549,*
6-30-2003,AK,99552,*
6-30-2003,AK,99554,*
6-30-2003,AK,99555,*
6-30-2003,AK,99556,*
6-30-2003,AK,99557,*
6-30-2003,AK,99558,*
6-30-2003,AK,99559,*
6-30-2003,AK,99563,*
6-30-2003,AK,99564,*
6-30-2003,AK,99565,*
6-30-2003,AK,99567,*
6-30-2003,AK,99568,*
6-30-2003,AK,99569,*
6-30-2003,AK,99572,*
6-30-2003,AK,99573,*
6-30-2003,AK,99574,*
6-30-2003,AK,99575,*
6-30-2003,AK,99576,*
6-30-2003,AK,99577,*
6-30-2003,AK,99578,*
6-30-2003,AK,99579,*
6-30-2003,AK,99580,*
6-30-2003,AK,99581,*
6-30-2003,AK,99585,*
6-30-2003,AK,99586,*
6-30-2003,AK,99587,*
6-30-2003,AK,99588,*
6-30-2003,AK,99591,*
6-30-2003,AK,99602,*
6-30-2003,AK,99603,*
6-30-2003,AK,99604,*
6-30-2003,AK,99606,*
6-30-2003,AK,99607,*
6-30-2003,AK,99610,*
6-30-2003,AK,99611,*
6-30-2003,AK,99613,*
6-30-2003,AK,99614,*
6-30-2003,AK,99615,*
6-30-2003,AK,99620,*
6-30-2003,AK,99621,*
6-30-2003,AK,99622,*
6-30-2003,AK,99625,*
6-30-2003,AK,99626,*
6-30-2003,AK,99627,*
6-30-2003,AK,99628,*
6-30-2003,AK,99630,*
6-30-2003,AK,99631,*
6-30-2003,AK,99632,*
6-30-2003,AK,99633,*
6-30-2003,AK,99636,*
6-30-2003,AK,99638,*
6-30-2003,AK,99639,*
6-30-2003,AK,99640,*
6-30-2003,AK,99645,*
6-30-2003,AK,99647,*
6-30-2003,AK,99648,*
6-30-2003,AK,99649,*
6-30-2003,AK,99650,*
6-30-2003,AK,99651,*
6-30-2003,AK,99653,*
6-30-2003,AK,99654,*
6-30-2003,AK,99656,*
6-30-2003,AK,99657,*
6-30-2003,AK,99658,*
6-30-2003,AK,99659,*
6-30-2003,AK,99660,*
6-30-2003,AK,99661,*
6-30-2003,AK,99662,*
6-30-2003,AK,99664,*
6-30-2003,AK,99667,*
6-30-2003,AK,99668,*
6-30-2003,AK,99669,*
6-30-2003,AK,99670,*
6-30-2003,AK,99671,*
