year,STATE,ZIP,Prov
12-31-2007,AK,99501,8
12-31-2007,AK,99502,8
12-31-2007,AK,99503,8
12-31-2007,AK,99504,7
12-31-2007,AK,99505,*
12-31-2007,AK,99506,5
12-31-2007,AK,99507,8
12-31-2007,AK,99508,8
12-31-2007,AK,99515,8
12-31-2007,AK,99516,7
12-31-2007,AK,99517,5
12-31-2007,AK,99518,8
12-31-2007,AK,99540,*
12-31-2007,AK,99546,*
12-31-2007,AK,99547,*
12-31-2007,AK,99549,*
12-31-2007,AK,99551,*
12-31-2007,AK,99552,*
12-31-2007,AK,99553,*
12-31-2007,AK,99554,*
12-31-2007,AK,99555,4
12-31-2007,AK,99556,4
12-31-2007,AK,99557,*
12-31-2007,AK,99558,*
12-31-2007,AK,99559,4
12-31-2007,AK,99561,*
12-31-2007,AK,99563,*
12-31-2007,AK,99564,*
12-31-2007,AK,99565,*
12-31-2007,AK,99567,4
12-31-2007,AK,99568,*
12-31-2007,AK,99569,*
12-31-2007,AK,99571,*
12-31-2007,AK,99572,*
12-31-2007,AK,99573,*
12-31-2007,AK,99574,4
12-31-2007,AK,99575,*
12-31-2007,AK,99576,4
12-31-2007,AK,99577,8
12-31-2007,AK,99578,*
12-31-2007,AK,99579,*
12-31-2007,AK,99580,*
12-31-2007,AK,99581,*
12-31-2007,AK,99583,*
12-31-2007,AK,99585,*
12-31-2007,AK,99586,*
12-31-2007,AK,99587,*
12-31-2007,AK,99588,4
12-31-2007,AK,99589,*
12-31-2007,AK,99590,*
12-31-2007,AK,99591,*
12-31-2007,AK,99602,*
12-31-2007,AK,99603,5
12-31-2007,AK,99604,*
12-31-2007,AK,99606,4
12-31-2007,AK,99607,*
12-31-2007,AK,99610,*
12-31-2007,AK,99611,5
12-31-2007,AK,99612,*
12-31-2007,AK,99613,*
12-31-2007,AK,99614,4
12-31-2007,AK,99615,6
12-31-2007,AK,99620,*
12-31-2007,AK,99621,*
12-31-2007,AK,99622,*
12-31-2007,AK,99625,*
12-31-2007,AK,99626,*
12-31-2007,AK,99627,*
12-31-2007,AK,99628,*
12-31-2007,AK,99630,*
12-31-2007,AK,99631,*
12-31-2007,AK,99632,*
12-31-2007,AK,99633,*
12-31-2007,AK,99634,*
12-31-2007,AK,99636,*
12-31-2007,AK,99638,*
12-31-2007,AK,99639,*
12-31-2007,AK,99640,*
12-31-2007,AK,99645,5
12-31-2007,AK,99647,*
12-31-2007,AK,99648,*
12-31-2007,AK,99649,*
12-31-2007,AK,99650,*
12-31-2007,AK,99651,*
12-31-2007,AK,99653,*
12-31-2007,AK,99654,5
12-31-2007,AK,99655,*
12-31-2007,AK,99656,*
12-31-2007,AK,99657,4
12-31-2007,AK,99658,*
12-31-2007,AK,99659,*
12-31-2007,AK,99660,*
12-31-2007,AK,99661,*
12-31-2007,AK,99662,*
12-31-2007,AK,99664,*
12-31-2007,AK,99665,*
12-31-2007,AK,99667,*
12-31-2007,AK,99668,*
12-31-2007,AK,99669,5
12-31-2007,AK,99670,*
12-31-2007,AK,99671,*
12-31-2007,AK,99672,4
12-31-2007,AK,99676,4
12-31-2007,AK,99679,*
12-31-2007,AK,99681,*
12-31-2007,AK,99682,4
12-31-2007,AK,99683,4
12-31-2007,AK,99684,*
12-31-2007,AK,99685,4
12-31-2007,AK,99686,6
12-31-2007,AK,99688,4
12-31-2007,AK,99689,*
12-31-2007,AK,99691,*
12-31-2007,AK,99692,*
12-31-2007,AK,99701,5
12-31-2007,AK,99702,*
12-31-2007,AK,99703,*
12-31-2007,AK,99704,4
12-31-2007,AK,99705,5
12-31-2007,AK,99709,5
12-31-2007,AK,99712,4
12-31-2007,AK,99714,4
12-31-2007,AK,99720,*
12-31-2007,AK,99721,*
12-31-2007,AK,99722,*
12-31-2007,AK,99723,*
12-31-2007,AK,99724,*
12-31-2007,AK,99726,*
12-31-2007,AK,99727,*
12-31-2007,AK,99729,4
12-31-2007,AK,99730,*
12-31-2007,AK,99733,*
12-31-2007,AK,99734,*
