year,STATE,ZIP,Prov
12-31-1999,AL,35004,*
12-31-1999,AL,35005,*
12-31-1999,AL,35007,*
12-31-1999,AL,35010,*
12-31-1999,AL,35014,*
12-31-1999,AL,35016,*
12-31-1999,AL,35019,*
12-31-1999,AL,35020,*
12-31-1999,AL,35022,*
12-31-1999,AL,35023,*
12-31-1999,AL,35033,*
12-31-1999,AL,35034,*
12-31-1999,AL,35040,*
12-31-1999,AL,35042,*
12-31-1999,AL,35043,*
12-31-1999,AL,35044,*
12-31-1999,AL,35045,*
12-31-1999,AL,35051,*
12-31-1999,AL,35053,*
12-31-1999,AL,35054,*
12-31-1999,AL,35055,*
12-31-1999,AL,35057,*
12-31-1999,AL,35058,*
12-31-1999,AL,35061,*
12-31-1999,AL,35062,*
12-31-1999,AL,35064,*
12-31-1999,AL,35071,*
12-31-1999,AL,35072,*
12-31-1999,AL,35073,*
12-31-1999,AL,35077,*
12-31-1999,AL,35080,*
12-31-1999,AL,35083,*
12-31-1999,AL,35085,*
12-31-1999,AL,35087,*
12-31-1999,AL,35089,*
12-31-1999,AL,35094,*
12-31-1999,AL,35096,*
12-31-1999,AL,35111,*
12-31-1999,AL,35114,*
12-31-1999,AL,35115,*
12-31-1999,AL,35118,*
12-31-1999,AL,35120,*
12-31-1999,AL,35121,*
12-31-1999,AL,35124,4
12-31-1999,AL,35125,*
12-31-1999,AL,35126,*
12-31-1999,AL,35127,*
12-31-1999,AL,35136,*
12-31-1999,AL,35143,*
12-31-1999,AL,35146,*
12-31-1999,AL,35147,*
12-31-1999,AL,35150,*
12-31-1999,AL,35151,*
12-31-1999,AL,35160,*
12-31-1999,AL,35171,*
12-31-1999,AL,35173,*
12-31-1999,AL,35175,*
12-31-1999,AL,35178,*
12-31-1999,AL,35179,*
12-31-1999,AL,35180,*
12-31-1999,AL,35183,*
12-31-1999,AL,35186,*
12-31-1999,AL,35203,*
12-31-1999,AL,35204,*
12-31-1999,AL,35205,*
12-31-1999,AL,35206,*
12-31-1999,AL,35207,*
12-31-1999,AL,35208,*
12-31-1999,AL,35209,5
12-31-1999,AL,35210,*
12-31-1999,AL,35211,*
12-31-1999,AL,35212,*
12-31-1999,AL,35213,*
12-31-1999,AL,35214,*
12-31-1999,AL,35215,4
12-31-1999,AL,35216,4
12-31-1999,AL,35217,4
12-31-1999,AL,35218,*
12-31-1999,AL,35221,*
12-31-1999,AL,35222,*
12-31-1999,AL,35223,*
12-31-1999,AL,35226,*
12-31-1999,AL,35228,*
12-31-1999,AL,35233,*
12-31-1999,AL,35234,*
12-31-1999,AL,35235,*
12-31-1999,AL,35242,4
12-31-1999,AL,35243,5
12-31-1999,AL,35244,5
12-31-1999,AL,35401,*
12-31-1999,AL,35404,*
12-31-1999,AL,35405,*
12-31-1999,AL,35406,*
12-31-1999,AL,35446,*
12-31-1999,AL,35447,*
12-31-1999,AL,35452,*
12-31-1999,AL,35456,*
12-31-1999,AL,35462,*
12-31-1999,AL,35470,*
12-31-1999,AL,35475,*
12-31-1999,AL,35476,*
12-31-1999,AL,35490,*
12-31-1999,AL,35501,*
12-31-1999,AL,35504,*
12-31-1999,AL,35540,*
12-31-1999,AL,35549,*
12-31-1999,AL,35553,*
12-31-1999,AL,35555,*
12-31-1999,AL,35565,*
12-31-1999,AL,35570,*
12-31-1999,AL,35582,*
12-31-1999,AL,35586,*
12-31-1999,AL,35601,*
12-31-1999,AL,35603,*
12-31-1999,AL,35611,*
12-31-1999,AL,35613,*
12-31-1999,AL,35614,*
12-31-1999,AL,35618,*
12-31-1999,AL,35619,*
12-31-1999,AL,35621,*
12-31-1999,AL,35622,*
12-31-1999,AL,35630,*
12-31-1999,AL,35633,*
12-31-1999,AL,35634,*
12-31-1999,AL,35640,*
12-31-1999,AL,35645,*
12-31-1999,AL,35646,*
12-31-1999,AL,35650,*
12-31-1999,AL,35652,*
12-31-1999,AL,35653,*
12-31-1999,AL,35660,*
12-31-1999,AL,35661,*
12-31-1999,AL,35670,*
12-31-1999,AL,35673,*
12-31-1999,AL,35674,*
12-31-1999,AL,35739,*
12-31-1999,AL,35740,*
12-31-1999,AL,35747,*
12-31-1999,AL,35748,*
12-31-1999,AL,35749,*
12-31-1999,AL,35750,*
12-31-1999,AL,35754,*
12-31-1999,AL,35756,*
12-31-1999,AL,35757,*
12-31-1999,AL,35758,*
12-31-1999,AL,35759,*
12-31-1999,AL,35760,*
12-31-1999,AL,35761,*
12-31-1999,AL,35763,*
12-31-1999,AL,35765,*
12-31-1999,AL,35768,*
12-31-1999,AL,35769,*
12-31-1999,AL,35772,*
