year,STATE,ZIP,Prov
6-30-2002,AK,99501,4
6-30-2002,AK,99502,*
6-30-2002,AK,99503,*
6-30-2002,AK,99504,4
6-30-2002,AK,99505,*
6-30-2002,AK,99506,*
6-30-2002,AK,99507,*
6-30-2002,AK,99508,*
6-30-2002,AK,99515,*
6-30-2002,AK,99516,*
6-30-2002,AK,99517,*
6-30-2002,AK,99518,*
6-30-2002,AK,99549,*
6-30-2002,AK,99556,*
6-30-2002,AK,99557,*
6-30-2002,AK,99558,*
6-30-2002,AK,99559,*
6-30-2002,AK,99563,*
6-30-2002,AK,99564,*
6-30-2002,AK,99565,*
6-30-2002,AK,99567,*
6-30-2002,AK,99568,*
6-30-2002,AK,99573,*
6-30-2002,AK,99574,*
6-30-2002,AK,99575,*
6-30-2002,AK,99576,*
6-30-2002,AK,99577,*
6-30-2002,AK,99578,*
6-30-2002,AK,99579,*
6-30-2002,AK,99580,*
6-30-2002,AK,99581,*
6-30-2002,AK,99585,*
6-30-2002,AK,99586,*
6-30-2002,AK,99587,*
6-30-2002,AK,99588,*
6-30-2002,AK,99591,*
6-30-2002,AK,99603,*
6-30-2002,AK,99606,*
6-30-2002,AK,99610,*
6-30-2002,AK,99611,*
6-30-2002,AK,99613,*
6-30-2002,AK,99614,*
6-30-2002,AK,99615,*
6-30-2002,AK,99620,*
6-30-2002,AK,99622,*
6-30-2002,AK,99625,*
6-30-2002,AK,99627,*
6-30-2002,AK,99628,*
6-30-2002,AK,99630,*
6-30-2002,AK,99631,*
6-30-2002,AK,99632,*
6-30-2002,AK,99633,*
6-30-2002,AK,99636,*
6-30-2002,AK,99638,*
6-30-2002,AK,99639,*
6-30-2002,AK,99640,*
6-30-2002,AK,99645,*
6-30-2002,AK,99647,*
6-30-2002,AK,99649,*
6-30-2002,AK,99650,*
6-30-2002,AK,99651,*
6-30-2002,AK,99653,*
6-30-2002,AK,99654,*
6-30-2002,AK,99656,*
6-30-2002,AK,99657,*
6-30-2002,AK,99658,*
6-30-2002,AK,99660,*
6-30-2002,AK,99664,*
6-30-2002,AK,99667,*
6-30-2002,AK,99668,*
6-30-2002,AK,99669,*
6-30-2002,AK,99670,*
6-30-2002,AK,99672,*
6-30-2002,AK,99676,*
6-30-2002,AK,99681,*
6-30-2002,AK,99682,*
6-30-2002,AK,99683,*
6-30-2002,AK,99685,*
6-30-2002,AK,99686,*
6-30-2002,AK,99687,*
6-30-2002,AK,99688,*
6-30-2002,AK,99689,*
6-30-2002,AK,99691,*
6-30-2002,AK,99701,*
6-30-2002,AK,99702,*
6-30-2002,AK,99703,*
6-30-2002,AK,99705,*
6-30-2002,AK,99709,*
6-30-2002,AK,99712,*
6-30-2002,AK,99720,*
6-30-2002,AK,99723,*
6-30-2002,AK,99726,*
6-30-2002,AK,99727,*
6-30-2002,AK,99729,*
6-30-2002,AK,99730,*
6-30-2002,AK,99733,*
6-30-2002,AK,99734,*
6-30-2002,AK,99737,*
6-30-2002,AK,99739,*
6-30-2002,AK,99740,*
6-30-2002,AK,99742,*
6-30-2002,AK,99743,*
6-30-2002,AK,99747,*
6-30-2002,AK,99753,*
6-30-2002,AK,99755,*
6-30-2002,AK,99756,*
6-30-2002,AK,99757,*
6-30-2002,AK,99760,*
6-30-2002,AK,99761,*
6-30-2002,AK,99762,*
6-30-2002,AK,99766,*
6-30-2002,AK,99768,*
6-30-2002,AK,99771,*
6-30-2002,AK,99772,*
6-30-2002,AK,99777,*
6-30-2002,AK,99778,*
6-30-2002,AK,99780,*
6-30-2002,AK,99781,*
6-30-2002,AK,99782,*
6-30-2002,AK,99783,*
6-30-2002,AK,99784,*
6-30-2002,AK,99789,*
6-30-2002,AK,99801,*
6-30-2002,AK,99824,*
6-30-2002,AK,99826,*
6-30-2002,AK,99827,*
6-30-2002,AK,99833,*
6-30-2002,AK,99835,*
6-30-2002,AK,99840,*
6-30-2002,AK,99901,4
6-30-2002,AK,99903,*
6-30-2002,AK,99919,*
6-30-2002,AK,99921,*
6-30-2002,AK,99922,*
6-30-2002,AK,99923,*
6-30-2002,AK,99925,*
6-30-2002,AK,99929,*
6-30-2002,AK,99950,*
6-30-2002,AL,35004,4
6-30-2002,AL,35005,*
6-30-2002,AL,35006,*
6-30-2002,AL,35007,6
6-30-2002,AL,35010,4
6-30-2002,AL,35014,*
6-30-2002,AL,35016,4
6-30-2002,AL,35019,*
6-30-2002,AL,35020,7
6-30-2002,AL,35022,4
6-30-2002,AL,35023,7
6-30-2002,AL,35031,*
6-30-2002,AL,35034,4
6-30-2002,AL,35035,*
6-30-2002,AL,35036,*
6-30-2002,AL,35040,4
6-30-2002,AL,35041,*
6-30-2002,AL,35042,5
6-30-2002,AL,35043,*
6-30-2002,AL,35044,4
6-30-2002,AL,35045,5
6-30-2002,AL,35046,*
6-30-2002,AL,35049,*
6-30-2002,AL,35051,4
6-30-2002,AL,35053,*
6-30-2002,AL,35054,*
6-30-2002,AL,35055,4
6-30-2002,AL,35057,*
6-30-2002,AL,35058,4
6-30-2002,AL,35061,*
6-30-2002,AL,35062,*
6-30-2002,AL,35063,*
6-30-2002,AL,35064,*
6-30-2002,AL,35068,*
6-30-2002,AL,35071,*
6-30-2002,AL,35072,4
6-30-2002,AL,35073,*
6-30-2002,AL,35077,*
6-30-2002,AL,35078,*
6-30-2002,AL,35079,*
6-30-2002,AL,35080,4
6-30-2002,AL,35083,*
6-30-2002,AL,35085,4
6-30-2002,AL,35087,*
6-30-2002,AL,35089,*
6-30-2002,AL,35091,*
6-30-2002,AL,35094,4
6-30-2002,AL,35096,4
6-30-2002,AL,35111,6
6-30-2002,AL,35114,*
6-30-2002,AL,35115,*
6-30-2002,AL,35116,*
6-30-2002,AL,35117,*
